sample_id,type,detail
'-3g5yACwYnA_13,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-3g5yACwYnA_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-3g5yACwYnA_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-3g5yACwYnA_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-3nNcZdcdvU_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-HwX2H8Z4hY_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-HwX2H8Z4hY_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-HwX2H8Z4hY_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-HwX2H8Z4hY_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-NFrJFQijFE_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-NFrJFQijFE_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-THoVjtIkeU_12,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-THoVjtIkeU_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-THoVjtIkeU_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-UuX1xuaiiE_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-UuX1xuaiiE_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-UuX1xuaiiE_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-a55Q6RWvTA_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-aNfi7CP8vM_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-dxfTGcXJoc_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-dxfTGcXJoc_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-dxfTGcXJoc_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_26,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_17,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_18,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_16,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_13,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-egA8-b7-3M_20,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-iRBcNs9oI8_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-iRBcNs9oI8_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-iRBcNs9oI8_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-iRBcNs9oI8_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-iRBcNs9oI8_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-lzEya4AM_4_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-lzEya4AM_4_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-mJ2ud6oKI8_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-mJ2ud6oKI8_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-mJ2ud6oKI8_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-mJ2ud6oKI8_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-mJ2ud6oKI8_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-t217m2on-s_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-t217m2on-s_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tANM6ETl_M_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tPCytz4rww_11,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tPCytz4rww_10,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tPCytz4rww_12,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tPCytz4rww_16,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-tPCytz4rww_18,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-vxjVxOeScU_4,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wMB_hJL-3o_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-wny0OAz3g8_9,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-571d8cVauQ_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-I_e4mIh0yE_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-I_e4mIh0yE_3,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-UacrmKiTn4_10,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-UacrmKiTn4_4,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-hnBHBN8p5A_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-hnBHBN8p5A_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-qDkUB0GgYY_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-uywlfIYOS8_4,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-6rXp3zJ3kc_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-9y-fZ3swSY_4,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-9y-fZ3swSY_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-AUZQgSxyPQ_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-HeZS2-Prhc_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-MeTTeMJBNc_13,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-MeTTeMJBNc_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-RfYyzHpjk4_11,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-RfYyzHpjk4_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-RfYyzHpjk4_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-ri04Z7vwnc_0,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-ri04Z7vwnc_2,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-ri04Z7vwnc_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_4,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_7,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-s9qJ7ATP7w_6,audio_partial_window_coverage,detected during q1 extraction
'-s9qJ7ATP7w_8,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-yRb-Jum7EQ_1,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-yRb-Jum7EQ_5,video_header_decoded_frame_count_mismatch,detected during q1 extraction
'-yRb-Jum7EQ_6,video_header_decoded_frame_count_mismatch,detected during q1 extraction
