sample_id,video_id,clip_id,window_index,start_sec,end_sec,text_valid,audio_valid,vision_valid,audio_sample_start,audio_sample_end,audio_sample_count,frame_start,frame_end,frame_count,text_time_source,audio_time_source,vision_time_source
'-3g5yACwYnA_13,'-3g5yACwYnA,13,0,0.0,0.10866666666666668,0,1,1,0,1738,1738,0,4,4,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,1,0.10866666666666668,0.21733333333333335,1,1,1,1738,3477,1739,3,7,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,2,0.21733333333333335,0.326,0,1,1,3477,5216,1739,6,10,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,3,0.326,0.4346666666666667,0,1,1,5216,6954,1738,9,14,4,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,4,0.4346666666666667,0.5433333333333333,1,1,1,6954,8693,1739,13,17,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,5,0.5433333333333333,0.652,0,1,1,8693,10432,1739,16,20,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,6,0.652,0.7606666666666666,0,1,1,10432,12170,1738,19,23,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,7,0.7606666666666666,0.8693333333333334,1,1,1,12170,13909,1739,22,27,4,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,8,0.8693333333333334,0.9780000000000001,0,1,1,13909,15648,1739,26,30,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,9,0.9780000000000001,1.0866666666666667,0,1,1,15648,17386,1738,29,33,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,10,1.0866666666666667,1.1953333333333334,1,1,1,17386,19125,1739,32,36,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,11,1.1953333333333334,1.304,0,1,1,19125,20864,1739,35,40,4,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,12,1.304,1.4126666666666667,0,1,1,20864,22602,1738,39,43,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,13,1.4126666666666667,1.5213333333333332,0,1,1,22602,24341,1739,42,46,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
'-3g5yACwYnA_13,'-3g5yACwYnA,13,14,1.5213333333333332,1.63,1,1,1,24341,26080,1739,45,49,3,inferred_uniform_text_timing,ffmpeg_audio_sample_rate,video_frame_index_and_fps
