sample_id,video_id,clip_id,video_path,file_size_bytes,video_read_status,fps,frame_count_header,frame_count_decoded,width,height,duration_sec,audio_status,audio_sample_rate,audio_samples,audio_duration_sec
'-3g5yACwYnA_13,'-3g5yACwYnA,13,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\13.mp4,1052449,ok,30.0,261,163,1280,720,5.433333333333334,ok,16000,86386,5.399125
'-3g5yACwYnA_3,'-3g5yACwYnA,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\3.mp4,2322206,ok,30.0,578,431,1280,720,14.366666666666667,ok,16000,229246,14.327875
'-3g5yACwYnA_2,'-3g5yACwYnA,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\2.mp4,1752558,ok,30.0,424,278,1280,720,9.266666666666667,ok,16000,147701,9.2313125
'-3g5yACwYnA_9,'-3g5yACwYnA,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\9.mp4,1938491,ok,30.0,486,263,1280,720,8.766666666666667,ok,16000,139138,8.696125
'-3nNcZdcdvU_5,'-3nNcZdcdvU,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3nNcZdcdvU\5.mp4,336985,ok,30.0,328,236,320,240,7.866666666666666,ok,16000,124617,7.7885625
'-HwX2H8Z4hY_2,'-HwX2H8Z4hY,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\2.mp4,958873,ok,30.0,244,119,1280,720,3.966666666666667,ok,16000,62653,3.9158125
'-HwX2H8Z4hY_5,'-HwX2H8Z4hY,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\5.mp4,1617346,ok,30.0,343,168,1280,720,5.6,ok,16000,88705,5.5440625
'-HwX2H8Z4hY_6,'-HwX2H8Z4hY,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\6.mp4,978678,ok,30.0,202,99,1280,720,3.3,ok,16000,52096,3.256
'-HwX2H8Z4hY_9,'-HwX2H8Z4hY,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\9.mp4,981914,ok,30.0,343,232,1280,720,7.733333333333333,ok,16000,122181,7.6363125
'-NFrJFQijFE_1,'-NFrJFQijFE,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-NFrJFQijFE\1.mp4,1024510,ok,25.0,227,142,1280,720,5.68,ok,16000,90542,5.658875
'-NFrJFQijFE_2,'-NFrJFQijFE,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-NFrJFQijFE\2.mp4,1452918,ok,25.0,242,169,1280,720,6.76,ok,16000,107173,6.6983125
