sample_id,modality,rank,start_index,end_index,impact_score,time_source
01,text,1,40,44,0.08523410558700562,aligned_window_index; source mapping required
01,text,2,5,9,0.05442112311720848,aligned_window_index; source mapping required
01,text,3,25,29,0.04977412894368172,aligned_window_index; source mapping required
01,audio,1,0,4,0.044368308037519455,aligned_window_index; source mapping required
01,audio,2,20,24,0.04370073601603508,aligned_window_index; source mapping required
01,audio,3,35,39,0.03396579995751381,aligned_window_index; source mapping required
01,vision,1,0,4,0.022537408396601677,aligned_window_index; source mapping required
01,vision,2,25,29,0.012318290770053864,aligned_window_index; source mapping required
01,vision,3,40,44,0.012168284505605698,aligned_window_index; source mapping required
02,text,1,5,9,0.05835964158177376,aligned_window_index; source mapping required
02,text,2,35,39,0.04581842198967934,aligned_window_index; source mapping required
02,text,3,20,24,0.03293607383966446,aligned_window_index; source mapping required
02,audio,1,5,9,0.03889435902237892,aligned_window_index; source mapping required
02,audio,2,15,19,0.020111387595534325,aligned_window_index; source mapping required
02,audio,3,30,34,0.020028773695230484,aligned_window_index; source mapping required
02,vision,1,15,19,0.016532426699995995,aligned_window_index; source mapping required
02,vision,2,5,9,0.00817680824548006,aligned_window_index; source mapping required
02,vision,3,35,39,0.006998162716627121,aligned_window_index; source mapping required
03,text,1,45,49,0.20246636867523193,aligned_window_index; source mapping required
03,text,2,35,39,0.14119243621826172,aligned_window_index; source mapping required
03,text,3,0,4,0.14006967842578888,aligned_window_index; source mapping required
03,audio,1,0,4,0.11107108741998672,aligned_window_index; source mapping required
03,audio,2,20,24,0.04810962453484535,aligned_window_index; source mapping required
03,audio,3,30,34,0.029738575220108032,aligned_window_index; source mapping required
03,vision,1,10,14,0.06853319704532623,aligned_window_index; source mapping required
03,vision,2,20,24,0.06580527871847153,aligned_window_index; source mapping required
03,vision,3,35,39,0.04305772855877876,aligned_window_index; source mapping required
04,text,1,15,19,0.13166789710521698,aligned_window_index; source mapping required
04,text,2,35,39,0.08101864159107208,aligned_window_index; source mapping required
04,text,3,0,4,0.047317713499069214,aligned_window_index; source mapping required
04,audio,1,5,9,0.08017275482416153,aligned_window_index; source mapping required
04,audio,2,25,29,0.03238062188029289,aligned_window_index; source mapping required
04,audio,3,15,19,0.017666775733232498,aligned_window_index; source mapping required
04,vision,1,20,24,0.10416717082262039,aligned_window_index; source mapping required
04,vision,2,10,14,0.05574304237961769,aligned_window_index; source mapping required
04,vision,3,30,34,0.054213475435972214,aligned_window_index; source mapping required
05,text,1,10,14,0.13583974540233612,aligned_window_index; source mapping required
05,text,2,45,49,0.07722228020429611,aligned_window_index; source mapping required
05,text,3,20,24,0.07051175832748413,aligned_window_index; source mapping required
05,audio,1,10,14,0.02590727061033249,aligned_window_index; source mapping required
05,audio,2,0,4,0.017050158232450485,aligned_window_index; source mapping required
05,audio,3,40,44,0.008533621206879616,aligned_window_index; source mapping required
05,vision,1,10,14,0.02783360332250595,aligned_window_index; source mapping required
05,vision,2,0,4,0.02011052519083023,aligned_window_index; source mapping required
05,vision,3,40,44,0.01143617369234562,aligned_window_index; source mapping required
06,text,1,5,9,0.09607755392789841,aligned_window_index; source mapping required
06,text,2,40,44,0.05015571787953377,aligned_window_index; source mapping required
06,text,3,20,24,0.026492634788155556,aligned_window_index; source mapping required
06,audio,1,10,14,0.042773906141519547,aligned_window_index; source mapping required
06,audio,2,20,24,0.03301998972892761,aligned_window_index; source mapping required
06,audio,3,35,39,0.02116994746029377,aligned_window_index; source mapping required
06,vision,1,40,44,0.06290345638990402,aligned_window_index; source mapping required
06,vision,2,15,19,0.04156750813126564,aligned_window_index; source mapping required
