sample_id,pred_class,pred_regression,source_video,top_evidence_count,main_modality,card_path,mapping_status
01,2,0.641072154045105,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,3,text,evidence_cards\01.png,mapped_to_video
02,0,-0.08670832961797714,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,3,audio,evidence_cards\02.png,mapped_to_video
03,0,0.05032320320606232,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\03.mp4,3,audio,evidence_cards\03.png,mapped_to_video
04,1,0.3423542380332947,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\04.mp4,3,audio,evidence_cards\04.png,mapped_to_video
05,2,0.48795145750045776,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\05.mp4,3,text,evidence_cards\05.png,mapped_to_video
06,2,0.540617823600769,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\06.mp4,3,text,evidence_cards\06.png,mapped_to_video
07,2,1.1184756755828857,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\07.mp4,3,text,evidence_cards\07.png,mapped_to_video
08,2,0.8715217113494873,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\08.mp4,3,text,evidence_cards\08.png,mapped_to_video
09,0,-1.9808928966522217,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\09.mp4,3,text,evidence_cards\09.png,mapped_to_video
10,0,-0.7356126308441162,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\10.mp4,3,text,evidence_cards\10.png,mapped_to_video
11,0,-1.4799723625183105,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\11.mp4,3,text,evidence_cards\11.png,mapped_to_video
12,0,-1.3889446258544922,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\12.mp4,3,text,evidence_cards\12.png,mapped_to_video
13,2,0.06048497557640076,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\13.mp4,3,text,evidence_cards\13.png,mapped_to_video
14,2,1.0758442878723145,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\14.mp4,3,text,evidence_cards\14.png,mapped_to_video
15,2,0.9467169642448425,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\15.mp4,3,text,evidence_cards\15.png,mapped_to_video
16,0,-2.6106021404266357,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\16.mp4,3,text,evidence_cards\16.png,mapped_to_video
17,2,1.075547456741333,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\17.mp4,3,text,evidence_cards\17.png,mapped_to_video
18,2,-1.0973143577575684,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\18.mp4,3,vision,evidence_cards\18.png,mapped_to_video
19,2,0.46112045645713806,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\19.mp4,3,text,evidence_cards\19.png,mapped_to_video
20,2,0.8716873526573181,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\20.mp4,3,text,evidence_cards\20.png,mapped_to_video
