video,evidence_rows,header_decoded_match,clamped_evidence_rows,decoded_frames,header_frames
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,9,True,0,270,270
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,9,False,0,101,108
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\03.mp4,9,False,0,289,480
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\04.mp4,9,False,0,207,277
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\05.mp4,9,True,0,183,183
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\06.mp4,9,False,0,247,292
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\07.mp4,9,False,0,639,723
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\08.mp4,9,False,0,149,239
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\09.mp4,9,False,0,151,339
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\10.mp4,9,False,0,295,325
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\11.mp4,9,False,0,174,342
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\12.mp4,9,False,0,388,609
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\13.mp4,9,True,0,260,260
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\14.mp4,9,False,0,308,415
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\15.mp4,9,True,0,220,220
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\16.mp4,9,False,0,93,167
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\17.mp4,9,False,0,289,419
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\18.mp4,9,False,0,561,686
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\19.mp4,9,False,0,409,561
D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\20.mp4,9,False,0,326,561
